ID_QUATANGSN,PHIQUATANG,THONGDIEP,TENNGUOINHAN,DIACHIGIAOQUA,ID_DH
69,25000,Cuộc đời là một chuyến hành trình.,Đỗ Vũ Phúc Anh,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",847
70,45000,Chúc mừng sinh nhật nghen,Mạch Hiểu Lam,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",105
71,25000,Một ngày được phủ tràn nắng ấm,Vòng Tải Đông,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",402
72,45000,Chúc mừng sinh nhật.,Trịnh Nhật Nam,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,131
73,25000,Chúc mừng sinh nhật nghen,Bé Giáp,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",616
74,45000,\Tận hưởng từng centimet nhé ;),Trần Vĩnh Kỳ,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",686
75,25000,Những gì tốt đẹp nhất vẫn đang đến.,Đỗ Vũ Phúc Anh,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",173
76,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Minh Nguyệt,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",610
77,25000,Chúc mừng sinh nhật!,Nguyễn Hoàng Biển,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",998
78,45000,May beauty and happiness surround you,Phan Văn Tùng Trung,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",64
79,25000,Chúc mừng sinh nhật nghen,Hứa Huy Phong,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",843
80,45000,Một ngày được phủ tràn nắng ấm,Nguyễn Thị Bình Nguyên,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",646
81,25000,Chúc mừng sinh nhật!,Lê Đặng Việt Anh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",971
82,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Nguyễn Vinh,120 Phan Xích Long P3 Quận Bình Thạnh,513
83,25000,Chúc bạn một tuổi mới như thế ^^,Lê Thành Lộc,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",814
84,45000,Chúc mừng khởi đầu một năm hành trình mới,Phạm Thịnh Phú,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",576
85,25000,Happy Birthday.,Nguyễn Quang Đăng,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",673
86,45000,Chúc mừng sinh nhật người đẹp.,Trần Anh Khôi,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,302
87,25000,\Tận hưởng từng centimet nhé ;),Trần Mai Ngọc Đăng,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",466
88,45000,Forget the past; look forward to the future,Bảo Nam,120 Phan Xích Long P3 Quận Bình Thạnh,217
89,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Vĩnh Huy,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",231
90,45000,\Tận hưởng từng centimet nhé ;),Nguyễn Hoàng Gia Đạt,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",447
91,25000,Hãy luôn yêu đời nhé !,Phạm Quý Long,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",20
92,45000,Chúc mừng sinh nhật nghen,Nguyễn Lê Sơn,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",817
93,25000,Chúc mừng sinh nhật.,Nguyễn Hoàng Phúc,"68 Nguyễn Huệ, P. Bến Nghé, Quận",914
94,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Benjamin,"156 pAn Lạc A, QBình Tân, TpHCM",510
95,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Khoa Đăng,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",994
96,45000,Những gì tốt đẹp nhất vẫn đang đến.,Phạm Nguyên Quỳnh Anh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",654
97,25000,Enjoy every mile. Happy Birthday.,Benjamin,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,968
98,45000,Party hard - this is YOUR day\,Trịnh Lê Diệu Anh,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",773
99,25000,Forget the past; look forward to the future,Đặng Minh Đức,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",421
100,45000,Chúc bạn một tuổi mới như thế ^^,Phạm Quý Long,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",886
101,25000,,Quang,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",256
102,45000,Chúc mừng sinh nhật bạn thân!,Nguyễn Huỳnh Bảo Nam,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",898
103,25000,Chúc mừng sinh nhật nghen,Lê Hồng Nhật Y,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,883
104,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Phan Phú Trung,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",786
105,25000,Chúc mừng sinh nhật!,Kim Trường Hải,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",353
106,45000,"Another year older, another year wiser. ",Trần Nhã Kỳ,120 Phan Xích Long P3 Quận Bình Thạnh,34
107,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Hồ Hải Nam,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",122
108,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Trần Mai Linh,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",497
109,25000,\Tận hưởng từng centimet nhé ;),Minh Hoàng,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",262
110,45000,Forget the past; look forward to the future,Nhật Minh,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",243
111,25000,Chúc mừng sinh nhật!,Đầu Bảo Linh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",134
112,45000,Chúc mừng sinh nhật.,Nguyễn Khôi Nguyên,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",560
113,25000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Lê Xuân Bách,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",342
114,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Nguyễn Thiên Ân,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",98
115,25000,Chúc mừng sinh nhật!,Nguyễn Minh Hạnh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",711
116,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Ngô Mạnh Quân,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",652
117,25000,"Another year older, another year wiser. ",Bùi Ngọc Minh,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",265
118,45000,Happy Birthday!,Nguyễn Trí Huy,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",196
119,25000,Chúc bạn một tuổi mới như thế ^^,Hứa Huy Phong,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",492
120,45000,Chúc mừng sinh nhật người đẹp.,Đặng Huy Mạnh,"156 pAn Lạc A, QBình Tân, TpHCM",320
121,25000,\Tận hưởng từng centimet nhé ;),Hồ Nam,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",245
122,45000,May beauty and happiness surround you,Nguyễn Khải Hoàn,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",611
123,25000,Happy Birthday!,Vũ Mạnh Huy,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",NULL
124,45000,Chúc mừng sinh nhật nghen,Trần Nhã Kỳ,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",962
125,25000,Happy Birthday!,Nguyễn Minh Trí,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1097
126,45000,Happy Birthday.,Nguyễn Hoàng Gia Phát,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",191
127,25000,Forget the past; look forward to the future,Nguyễn Trí Cao,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",111
128,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Xuân Bách,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",102
129,25000,May beauty and happiness surround you,Lưu Trần Mẫn Khang,"156 pAn Lạc A, QBình Tân, TpHCM",643
130,45000,,Nguyễn Nhật Quang,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",242
131,25000,Happy Birthday!,Lý Thiên Bảo,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",860
132,45000,Enjoy every mile. Happy Birthday.,Quân,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",908
133,25000,May beauty and happiness surround you,Đỗ Vĩnh An,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",461
134,45000,Chúc mừng sinh nhật!,Vũ Minh Phát,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",779
135,25000,Một ngày được phủ tràn nắng ấm,Trần Quang Thịnh,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",648
136,45000,Happy Birthday!,Cao Minh Bảo,"156 pAn Lạc A, QBình Tân, TpHCM",609
137,25000,Chúc mừng sinh nhật người đẹp.,Quang Minh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",624
138,45000,Party hard - this is YOUR day\,Vương Đắc Quốc Anh,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",874
139,25000,Hãy luôn yêu đời nhé !,Nguyễn Hoàng Gia Vỹ,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",138
140,45000,Chúc mừng sinh nhật bạn thân!,Trần Duy Minh,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",NULL
141,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Nguyễn Thiên Ân,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1084
142,45000,Một ngày được phủ tràn nắng ấm,Minh Triết,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",867
143,25000,Happy Birthday,Diệp Vĩnh Đức Khiêm,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,787
144,45000,"Thêm một tuổi mới, thêm khôn ngoan.",HÙng,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",830
145,25000,Chúc mừng sinh nhật!,Anh Quân,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",523
146,45000,Chúc mừng sinh nhật!,Ngô Đan Khanh,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",635
147,25000,Chúc mừng sinh nhật bạn thân!,Đinh Ngọc Anh Thơ,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",1010
148,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Vòng Tải Đông,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",801
149,25000,Chúc mừng sinh nhật.,Hoàng Đông Bách,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",922
150,45000,Chúc mừng sinh nhật.,Vũ Minh Phát,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",193
151,25000,Happy Birthday,Trần Nhã Kỳ,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",662
152,45000,Chúc mừng sinh nhật bạn thân!,Nguyễn Hoàng Khang,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",535
153,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Anh Khoa,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",774
154,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Lê Đình Đạt,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1126
155,25000,Enjoy every mile. Happy Birthday.,Đoàn Dương Tuấn Anh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",120
156,45000,Chúc mừng sinh nhật!,Trần Hải Bảo Minh,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",563
157,25000,Chúc mừng sinh nhật!,Vũ Minh Thành,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",641
158,45000,,Lê Bá Di,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",1059
159,25000,\Tận hưởng từng centimet nhé ;),Nguyễn Minh Nguyệt,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1094
160,45000,Forget the past; look forward to the future,Thái Bảo Nam,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",121
161,25000,"Another year older, another year wiser. ",Đặng Đức Dũng,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",631
162,45000,Một ngày được phủ tràn nắng ấm,Vinh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1100
163,25000,Chúc bạn một tuổi mới như thế ^^,Công Khanh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",13
164,45000,\Tận hưởng từng centimet nhé ;),Hà Linh,120 Phan Xích Long P3 Quận Bình Thạnh,1046
165,25000,Những gì tốt đẹp nhất vẫn đang đến.,Đinh Trần Huy Khôi,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",824
166,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Hoàng gia huy,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",952
167,25000,Một ngày được phủ tràn nắng ấm,Hoàng Minh Nhật,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",946
168,45000,Chúc mừng sinh nhật.,Trần Đăng Đạt,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1032
169,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Vũ Minh Thành,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",845
170,45000,for the best things are yet to come,Trịnh Nhật Nam,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",552
171,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Hoàng Khang,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",419
172,45000,Chúc mừng sinh nhật!,Trần Nhã Kỳ,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",422
173,25000,Chúc mừng sinh nhật bạn thân!,Trương Tân Thành,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",601
174,45000,Chúc mừng sinh nhật.,Đỗ Gia Bảo,"233đường Trục, P.13, Q. BìnhThạnh",913
175,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Nguyễn Tâm Anh,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",681
176,45000,Hãy luôn yêu đời nhé !,Trương Tấn Vượng,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",467
177,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Nguyễn Trung Hưng,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1087
178,45000,May beauty and happiness surround you,Quang Minh,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",520
179,25000,Chúc bạn một tuổi mới như thế ^^,Hứa Huy Phong,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",950
180,45000,Party điii…!!,Vòng Tải Đông,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1107
181,25000,"Another year older, another year wiser. ",Lâm Bảo Khánh,120 Phan Xích Long P3 Quận Bình Thạnh,189
182,45000,Cuộc đời là một chuyến hành trình.,Cường,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1072
183,25000,Hãy luôn yêu đời nhé !,Hà Chí Nam,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",909
184,45000,Chúc mừng sinh nhật nghen,Quang Minh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",757
185,25000,Cuộc đời là một chuyến hành trình.,Nguyễn Hoàng Bảo Anh,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1152
186,45000,Hãy luôn yêu đời nhé !,Nguyễn Trọng Quang,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",614
187,25000,Chúc mừng sinh nhật người đẹp.,Hồ Tấn Thiện,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",571
