ID_KH,ID_VOUCHER,SOLUONG,DIENTHOAINHANMA
334,3406,2,(9) 320-502
335,1072,2,(7) 417-882
337,3480,2,(0) 688-573
342,1265,2,0-428-410  
343,1504,2,9-775-843  
344,475,2,5-254-192  
345,2569,2,1-064-213  
348,3497,2,(1) 793-670
353,349,2,(6) 754-639
354,1515,2,(8) 852-079
355,2374,2,5-320-749  
356,2111,2,(3) 937-057
357,132,2,2-231-671  
358,3363,2,0-170-559  
359,2407,2,(6) 051-422
364,2829,2,9-220-554  
366,1085,2,9-716-613  
367,1210,2,(7) 700-769
369,855,2,(7) 391-480
370,683,2,(1) 176-881
371,3129,2,(4) 138-042
373,69,2,(1) 392-174
375,1490,2,(8) 160-895
376,1053,2,5-059-885  
379,3112,2,(3) 142-122
381,103,2,(4) 523-422
386,1732,2,(2) 105-862
387,21,2,(6) 294-136
388,2862,2,6-949-588  
389,3845,2,(9) 135-302
393,2861,2,4-871-087  
395,1231,2,0-123-292  
398,742,2,9-614-918  
401,1710,2,(3) 921-332
402,2942,2,6-591-712  
403,766,2,3-573-893  
404,517,2,2-692-045  
406,1705,2,6-334-029  
407,1016,2,4-058-153  
409,770,2,2-014-606  
410,3871,2,(8) 347-720
411,3161,2,(9) 958-680
413,3598,2,6-882-487  
414,2164,2,1-556-978  
416,2815,2,3-862-510  
417,3579,2,(7) 939-671
421,2681,2,(9) 839-078
422,2755,2,5-058-022  
423,1460,2,2-624-233  
424,2975,2,4-746-522  
425,890,2,(3) 616-059
426,2591,2,1-371-116  
427,2617,2,0-007-432  
428,2392,2,7-679-047  
429,2760,2,(6) 048-993
430,1074,2,(4) 448-933
432,3768,2,(2) 118-265
440,1697,2,9-740-353  
441,3724,2,2-303-191  
445,1988,2,7-673-814  
446,1838,2,(3) 059-950
451,477,2,(0) 977-885
454,961,2,6-482-106  
455,398,2,(0) 665-315
456,3462,2,(3) 765-791
457,1024,2,8-564-212  
458,2342,2,2-389-498  
459,1815,2,0-799-873  
461,3834,2,(5) 879-989
462,3288,2,(2) 284-291
464,3615,2,(0) 142-670
466,1601,2,7-103-134  
468,3056,2,(5) 418-024
470,1221,2,4-760-109  
471,973,2,(9) 939-496
472,793,2,(2) 881-916
473,172,2,4-167-230  
474,1177,2,(3) 789-842
475,76,2,8-265-712  
476,2033,2,3-602-063  
478,3742,2,0-596-452  
481,1124,2,(6) 188-919
482,3590,2,9-156-245  
484,2474,2,(9) 024-797
485,1339,2,(9) 543-365
486,1977,2,(6) 856-058
487,2535,2,3-352-118  
491,841,2,6-487-973  
492,1199,2,(1) 601-420
493,897,2,(2) 981-594
496,12,2,(9) 131-081
497,2027,2,8-273-908  
499,1429,2,(0) 840-079
500,1180,2,(2) 759-740
502,1724,2,(0) 687-726
503,153,2,(7) 702-915
506,361,2,(1) 491-074
510,917,2,4-714-472  
518,1376,2,7-578-860  
519,2896,2,2-568-176  
522,959,2,0-812-840  
523,1025,2,(6) 303-959
524,867,2,4-188-804  
526,1288,2,(9) 677-441
527,1320,2,(2) 732-962
528,3819,2,3-415-277  
529,3030,2,(4) 278-315
530,497,2,(2) 876-976
531,98,2,9-894-697  
533,3533,2,3-650-309  
534,1699,2,6-250-272  
535,1998,2,(0) 358-159
537,603,2,(1) 432-723
539,2192,2,(1) 932-830
540,1707,2,(0) 094-009
542,1360,2,(9) 761-044
545,1729,2,8-332-065  
547,3289,2,7-214-740  
548,1680,2,(8) 376-529
551,869,2,6-758-106  
552,3947,2,(7) 578-174
553,1778,2,5-946-853  
555,3735,2,3-596-634  
560,1519,2,(0) 835-287
561,1402,2,5-125-339  
562,1534,2,(7) 874-084
565,3938,2,(3) 551-104
568,428,2,(7) 889-543
572,2304,2,(6) 695-244
576,378,2,(0) 765-990
577,2729,2,(0) 223-686
578,108,2,5-593-427  
579,1013,2,8-121-564  
580,3476,2,(6) 295-661
581,2306,2,4-793-380  
583,1748,2,9-941-415  
586,2596,2,(0) 585-786
589,2295,2,(7) 904-815
592,1690,2,5-366-397  
593,1021,2,(7) 957-056
595,839,2,2-934-035  
597,1907,2,1-844-589  
598,1772,2,(7) 412-351
600,271,2,0-970-372  
601,1788,2,4-057-848  
604,2185,2,6-378-601  
605,3187,2,5-729-893  
606,1676,2,6-338-701  
607,8,2,3-281-992  
608,3936,2,8-551-380  
612,3966,2,0-348-905  
614,2988,2,(3) 686-359
615,715,2,(9) 037-072
616,1616,2,5-802-027  
622,1061,2,3-588-373  
623,2601,2,3-718-000  
624,522,2,2-297-955  
625,2143,2,(8) 658-198
626,571,2,(9) 346-272
628,1687,2,3-667-830  
631,1164,2,(2) 669-883
632,1069,2,0-597-704  
633,3032,2,0-613-223  
634,338,2,4-654-323  
635,1435,2,9-321-028  
636,848,2,(5) 782-014
638,257,2,(5) 641-120
642,1375,2,8-627-411  
643,1984,2,(4) 969-381
645,1835,2,(9) 144-794
646,3322,2,5-640-675  
647,486,2,(8) 387-494
651,87,2,5-449-569  
653,2421,2,9-343-251  
654,3298,2,(3) 109-739
655,497,2,1-569-758  
657,852,2,(5) 278-334
658,3562,2,(5) 385-319
660,320,2,(7) 606-598
662,3427,2,5-838-221  
664,203,2,8-914-682  
667,2848,2,(3) 031-464
669,1107,2,(7) 192-411
670,1704,2,6-298-454  
672,3983,2,(1) 224-562
681,3656,2,4-392-770  
684,771,2,(4) 425-827
686,2735,2,9-061-532  
687,2179,2,(0) 210-051
691,3029,2,4-573-055  
693,49,2,9-998-825  
694,1056,2,(6) 727-679
695,814,2,6-398-996  
696,335,2,(4) 613-466
697,1232,2,(9) 979-922
700,763,2,(9) 465-007
701,714,2,5-760-384  
702,3140,2,2-608-224  
704,3539,2,3-515-240  
706,2659,2,0-727-871  
708,847,2,6-614-459  
712,969,2,2-489-906  
719,110,2,8-968-883  
720,3226,2,5-464-267  
721,2854,2,(7) 057-175
722,1311,2,2-072-728  
723,2254,2,(9) 129-512
724,1115,2,4-758-792  
725,2695,2,8-705-343  
727,1189,2,(6) 814-110
728,1018,2,4-692-389  
729,2433,2,(1) 116-598
730,1225,2,4-387-112  
734,248,2,9-530-537  
735,460,2,(3) 895-660
736,2043,2,4-447-954  
738,3387,2,6-978-758  
740,1100,2,6-678-886  
741,1112,2,(2) 149-571
744,3312,2,0-951-227  
746,102,2,7-827-113  
747,2093,2,(1) 130-777
752,500,2,6-231-626  
755,3496,2,(3) 406-559
757,239,2,6-597-475  
761,688,2,(4) 052-128
762,3578,2,9-811-617  
765,1630,2,(7) 339-296
766,660,2,5-775-741  
767,106,2,(6) 179-913
773,3674,2,(7) 302-124
775,13,2,6-580-405  
776,432,2,(3) 083-742
782,1862,2,3-769-318  
784,260,2,2-069-967  
785,3488,2,(2) 508-029
786,2987,2,5-655-404  
790,2562,2,2-356-770  
791,2930,2,(4) 141-588
794,1125,2,4-492-734  
797,222,2,7-507-912  
798,1301,2,(6) 714-542
799,1959,2,0-416-128  
800,3145,2,(3) 420-830
802,107,2,(9) 603-455
805,824,2,(1) 933-407
806,1921,2,(0) 140-088
807,622,2,8-778-894  
811,3651,2,(7) 344-903
812,2517,2,(8) 049-860
816,1121,2,9-410-095  
817,2940,2,(7) 379-886
818,2764,2,(3) 336-984
819,332,2,5-506-410  
820,2086,2,7-526-960  
821,1126,2,7-495-289  
822,2225,2,9-073-853  
823,20,2,(3) 636-414
825,120,2,8-853-570  
827,3594,2,(3) 884-172
829,1204,2,2-392-689  
832,1686,2,2-997-441  
834,915,2,9-648-551  
838,2738,2,1-116-506  
839,2410,2,5-983-970  
840,3025,2,(5) 909-823
844,546,2,(8) 734-159
845,784,2,(4) 393-384
846,419,2,1-135-456  
847,367,2,(4) 964-194
848,1672,2,(5) 819-508
849,558,2,9-234-088  
850,909,2,(9) 215-348
851,1960,2,(2) 232-848
854,1462,2,8-586-452  
857,1058,2,6-959-268  
866,2114,2,8-408-153  
867,3060,2,3-984-557  
871,2319,2,(6) 912-112
872,917,2,6-693-344  
873,971,2,7-367-721  
876,468,2,(0) 914-607
878,478,2,2-601-922  
882,1863,2,9-011-760  
885,1537,2,1-057-907  
888,1649,2,7-952-220  
889,1938,2,4-776-698  
890,2743,2,4-920-681  
892,457,2,(8) 213-753
895,1045,2,1-252-777  
897,221,2,(8) 347-727
900,2824,2,(6) 695-186
902,2658,2,(6) 006-507
907,3979,2,(5) 279-852
908,1808,2,5-946-110  
911,675,2,1-910-966  
916,431,2,(4) 467-356
922,426,2,3-674-063  
924,1274,2,6-461-112  
927,142,2,(5) 075-896
928,1671,2,6-703-501  
930,564,2,(3) 345-104
934,562,2,(7) 748-168
935,176,2,5-943-443  
936,693,2,(0) 274-645
937,1860,2,3-002-595  
941,1081,2,7-159-213  
942,2779,2,(5) 137-044
944,969,2,(5) 197-128
945,1961,2,(4) 349-821
948,244,2,5-283-605  
950,1011,2,1-278-178  
952,3231,2,8-449-073  
954,2450,2,(3) 753-996
955,3236,2,(8) 597-243
956,2413,2,9-472-015  
958,1931,2,(4) 479-289
960,1949,2,3-534-358  
961,2467,2,(6) 701-775
962,756,2,6-767-513  
965,73,2,1-230-189  
966,176,2,5-740-066  
968,2504,2,(8) 096-911
969,3763,2,(3) 530-776
971,1190,2,7-345-489  
974,2603,2,(3) 919-733
981,3075,2,0-753-250  
983,3719,2,(5) 088-060
984,187,2,1-150-721  
989,2068,2,(6) 132-124
990,1654,2,2-403-467  
992,2404,2,(8) 424-267
994,153,2,(1) 851-248
995,490,2,4-905-535  
997,3071,2,(8) 867-091
999,712,2,(1) 903-381
1001,3869,2,1-085-473  
1003,1320,2,(1) 291-297
1005,743,2,0-727-675  
1007,3260,2,4-855-789  
1008,1588,2,(9) 410-442
1010,542,2,(6) 270-417
1011,3034,2,(4) 314-334
1013,83,2,(6) 004-023
1014,368,2,2-076-217  
1017,3971,2,4-120-568  
1025,185,2,(6) 948-379
1027,1689,2,7-966-303  
1028,1548,2,(3) 934-084
1029,2725,2,(2) 857-402
1030,1742,2,(2) 540-169
1032,339,2,9-099-615  
1035,1015,2,(1) 350-785
1039,2807,2,(3) 515-695
1040,1660,2,(3) 334-363
1041,3841,2,(4) 871-627
1042,171,2,8-145-996  
1043,3885,2,0-997-659  
1044,2168,2,(4) 192-199
1045,2189,2,(3) 560-499
1046,720,2,4-729-343  
1047,3096,2,9-944-430  
1048,180,2,(4) 532-901
1050,134,2,(1) 408-682
1052,138,2,(4) 692-031
1054,3617,2,(7) 523-377
1055,753,2,3-764-493  
1056,1202,2,1-612-006  
1059,2599,2,6-947-976  
1060,1440,2,2-176-962  
1061,3275,2,(1) 957-882
1062,1434,2,(9) 083-904
1064,975,2,(6) 435-360
1065,313,2,3-031-802  
1066,732,2,(0) 306-266
1068,158,2,5-569-174  
1070,908,2,2-413-815  
1072,2227,2,(0) 562-610
1076,532,2,(3) 972-153
1077,1606,2,5-397-537  
1080,3478,2,(7) 998-971
1081,1333,2,8-339-010  
1083,1924,2,(2) 505-495
1084,3494,2,3-928-783  
1086,254,2,(3) 864-401
1089,2672,2,8-436-685  
1090,3089,2,2-326-867  
1092,2209,2,(0) 760-948
1093,2898,2,9-599-143  
1096,3343,2,(7) 332-216
1098,3597,2,(8) 603-641
1099,1964,2,(1) 621-692
1100,1789,2,(6) 590-589
1103,82,2,2-909-751  
1104,647,2,(0) 545-979
1106,1071,2,(8) 016-624
1111,1546,2,(7) 746-114
1112,3086,2,(6) 261-983
1117,1975,2,(9) 536-052
1119,435,2,6-445-739  
1120,45,2,(9) 959-045
1121,3506,2,7-688-774  
1126,3618,2,(0) 518-753
1127,25,2,(5) 275-348
1130,964,2,(9) 508-944
1131,1978,2,8-402-842  
1133,3582,2,(7) 705-906
1136,1189,2,8-088-133  
1138,1322,2,(5) 514-942
1139,2541,2,(3) 572-112
1141,2197,2,(8) 357-783
1143,1686,2,(0) 840-566
1144,2344,2,(3) 218-280
1149,350,2,(1) 569-305
1150,3759,2,8-204-735  
1151,314,2,9-279-473  
1156,3237,2,3-491-003  
1158,3894,2,8-618-364  
1161,2830,2,4-620-409  
1162,2690,2,2-100-072  
1175,1780,2,(6) 627-337
1176,3945,2,9-621-124  
1177,2253,2,2-595-631  
1179,2626,2,(2) 141-034
1180,2031,2,(0) 985-890
1182,2485,2,(7) 369-701
1183,1717,2,(6) 799-578
1187,95,2,(9) 042-725
1188,1004,2,(8) 810-869
1191,1611,2,(9) 509-696
1193,2955,2,(1) 484-981
1195,1425,2,(4) 001-900
1196,86,2,(2) 203-423
1197,651,2,(3) 629-164
1199,413,2,(2) 653-477
1200,2633,2,0-752-723  
1201,374,2,(4) 238-411
1203,2294,2,(0) 593-920
1207,1151,2,(5) 507-926
1208,7,2,7-563-234  
1210,3240,2,(8) 149-381
1213,888,2,4-473-947  
1214,3463,2,7-462-436  
1216,1426,2,(7) 838-138
1217,541,2,9-496-055  
1218,1132,2,(0) 564-421
1219,133,2,(7) 810-329
1221,1264,2,1-749-732  
1224,823,2,9-413-690  
1225,136,2,6-058-231  
1227,1106,2,(5) 112-815
1229,369,2,2-432-050  
1231,1034,2,(6) 922-162
1232,3690,2,(1) 866-577
1233,427,2,(7) 871-383
1235,427,2,4-959-893  
1236,2878,2,6-073-914  
1237,831,2,1-777-473  
1241,3063,2,2-781-728  
1242,3053,2,0-710-006  
1243,1323,2,(0) 944-270
1244,1699,2,0-964-308  
1246,1555,2,4-701-094  
1247,96,2,4-112-545  
1248,3114,2,6-276-226  
1250,968,2,3-542-930  
1253,1576,2,4-363-134  
1255,1620,2,2-113-632  
1256,1247,2,3-362-674  
1262,1485,2,(6) 088-623
1266,3903,2,(6) 715-929
1268,459,2,7-477-468  
1269,1610,2,(4) 793-156
1270,3887,2,6-186-560  
1271,3327,2,7-397-953  
1274,734,2,(0) 330-849
1276,3629,2,(9) 620-068
1277,2400,2,(8) 496-384
1279,1264,2,5-994-855  
1280,455,2,(1) 677-833
1281,1388,2,2-400-157  
1282,1354,2,(5) 943-739
1284,3050,2,0-175-024  
1285,379,2,1-281-337  
1287,2765,2,(3) 294-507
1288,1590,2,(6) 021-313
1290,746,2,(0) 671-638
1291,364,2,1-567-248  
1293,3619,2,9-808-522  
1294,2124,2,(2) 817-670
1295,1664,2,(2) 793-500
1300,911,2,4-438-996  
1302,2520,2,(7) 656-575
1303,1145,2,(2) 260-715
1305,403,2,7-706-205  
1306,1895,2,(2) 793-694
1308,2567,2,(6) 195-587
1309,2730,2,5-687-320  
1310,1800,2,(6) 736-962
1312,3794,2,(5) 407-540
1314,2079,2,1-163-999  
1315,3404,2,5-972-514  
1316,125,2,(4) 651-116
1318,2355,2,(6) 018-542
1319,3299,2,7-688-591  
1321,3296,2,(2) 157-790
1323,3961,2,2-180-581  
1324,1021,2,(1) 470-429
1325,1055,2,(4) 982-197
1326,475,2,(1) 627-696
1327,2553,2,(3) 895-894
1330,1242,2,7-353-070  
1331,832,2,(4) 912-256
1332,1273,2,(4) 300-664
1333,1640,2,(4) 716-098
1334,1161,2,(5) 792-446
1335,1012,2,(4) 224-956
1340,893,2,9-984-871  
1343,2839,2,(4) 137-142
1344,1879,2,(9) 352-359
1346,700,2,(5) 375-336
1348,38,2,(8) 574-841
1349,912,2,2-572-839  
1350,2630,2,0-795-283  
1352,798,2,(2) 826-296
1359,3518,2,(9) 956-201
1361,162,2,1-413-916  
1364,3702,2,7-441-858  
1365,131,2,5-815-184  
1367,2650,2,7-062-948  
1368,1829,2,(1) 282-921
1373,1597,2,0-430-171  
1376,3670,2,(4) 714-677
1377,1529,2,0-173-937  
1379,2798,2,3-819-016  
1380,394,2,(4) 003-598
1381,2140,2,(2) 801-819
1382,3705,2,(5) 676-593
1383,3857,2,7-250-426  
1384,2663,2,4-057-509  
1387,3451,2,3-249-841  
1391,2974,2,(2) 239-380
1392,782,2,(2) 263-868
1393,1114,2,(7) 436-583
1394,2023,2,(9) 174-182
1400,3630,2,(3) 806-376
1402,2986,2,6-285-688  
1403,3929,2,0-769-121  
1405,321,2,(9) 791-096
1406,1246,2,6-972-384  
1407,1944,2,1-562-842  
1408,928,2,4-591-289  
1411,411,2,3-664-935  
1412,74,2,0-952-155  
1413,1897,2,(1) 966-783
1414,174,2,0-853-318  
1416,985,2,6-210-768  
1417,2916,2,(4) 142-811
1421,268,2,9-357-755  
1422,1276,2,0-725-307  
1425,1665,2,3-998-682  
1427,754,2,5-672-534  
1430,2457,2,(2) 555-857
1431,68,2,2-783-278  
1436,308,2,(8) 694-257
1443,1219,2,8-290-428  
1446,3890,2,(1) 483-345
1448,1031,2,1-527-622  
1449,777,2,(5) 061-870
1450,1468,2,9-128-653  
1451,2487,2,(0) 149-715
1454,2215,2,(3) 580-281
1455,1861,2,9-565-901  
1456,264,2,(2) 928-153
1458,2548,2,8-462-194  
1461,2309,2,(8) 846-102
1462,2931,2,(6) 935-141
1463,3875,2,(0) 007-241
1465,3196,2,1-075-097  
1468,2418,2,(8) 883-171
1469,757,2,(9) 832-809
1472,3641,2,(8) 758-036
1474,759,2,7-379-378  
1476,2477,2,(2) 506-505
1478,1787,2,4-991-020  
1479,92,2,7-136-259  
1484,2892,2,(2) 627-798
1485,3514,2,8-999-356  
1487,3135,2,(4) 934-413
1488,166,2,4-309-500  
1489,2608,2,2-482-167  
1491,1919,2,(9) 475-465
1496,189,2,(8) 346-221
1499,84,2,(0) 253-924
1500,234,2,4-834-737  
1503,523,2,2-387-439  
1504,2577,2,2-698-990  
1506,3515,2,(0) 481-023
1512,193,2,(7) 091-166
1513,817,2,(8) 331-354
1514,1578,2,(1) 676-976
1517,2926,2,(6) 551-850
1519,1010,2,(3) 068-282
1520,1068,2,1-861-546  
1522,104,2,(5) 466-240
1523,1419,2,(4) 536-542
1526,466,2,(5) 111-240
1527,553,2,(7) 006-916
1528,1072,2,(4) 660-268
1529,677,2,1-322-062  
1533,2544,2,9-126-230  
1536,2669,2,5-779-467  
1541,2758,2,(3) 648-018
1542,2613,2,(3) 830-447
1544,586,2,(2) 756-046
1546,151,2,0-663-902  
1547,3027,2,(2) 083-817
1548,1113,2,(7) 401-828
1550,2620,2,8-699-951  
1552,1437,2,(0) 884-830
1553,154,2,(6) 503-491
1555,227,2,(3) 683-971
1556,1016,2,(3) 439-057
1558,1141,2,6-462-170  
1559,1575,2,(7) 678-487
1568,2513,2,2-559-016  
1570,2493,2,3-644-111  
1571,3662,2,1-959-402  
1573,955,2,0-615-744  
1574,3591,2,(0) 734-987
1577,1205,2,(3) 873-858
1579,1777,2,3-463-331  
1580,3580,2,3-900-854  
1582,659,2,9-215-262  
1587,1972,2,3-721-078  
1588,1561,2,(6) 437-026
1590,122,2,3-448-558  
1591,1628,2,(1) 941-646
1595,305,2,5-161-613  
1600,639,2,0-998-922  
1601,550,2,(5) 976-479
1602,1269,2,6-603-961  
1603,959,2,8-945-280  
1604,3828,2,0-777-622  
1605,2939,2,1-830-814  
1607,2103,2,(7) 746-628
1608,2648,2,(4) 039-349
1610,1857,2,(0) 844-375
1612,1242,2,(5) 042-088
1613,1394,2,8-709-697  
1615,3100,2,3-331-657  
1616,3407,2,3-533-313  
1621,2152,2,(8) 343-410
1623,1013,2,(7) 692-035
1624,717,2,(9) 639-242
1626,2480,2,(8) 421-315
1627,2759,2,0-942-420  
1628,297,2,(4) 683-604
1634,713,2,(3) 776-172
1636,1940,2,4-369-768  
1637,3227,2,(1) 228-514
1638,3176,2,(6) 031-940
1640,2959,2,3-271-080  
1642,156,2,7-937-183  
1644,3606,2,(2) 990-072
1645,1253,2,(2) 207-388
1646,2843,2,6-596-119  
1647,3138,2,0-237-177  
1648,2788,2,(6) 424-906
1650,2911,2,6-779-876  
1651,2283,2,2-029-906  
1652,3190,2,(5) 499-499
1653,2196,2,(9) 913-636
1654,3390,2,(3) 576-351
1655,1443,2,8-472-634  
1657,182,2,0-261-894  
1658,2727,2,(9) 412-224
1660,70,2,(2) 157-808
1662,3459,2,(2) 560-148
1664,2052,2,7-963-319  
1665,1481,2,9-954-456  
1667,863,2,2-181-727  
1675,282,2,(6) 244-466
1676,2429,2,3-815-361  
1677,2042,2,9-565-704  
1680,2383,2,7-833-421  
1683,3553,2,5-703-932  
1685,1027,2,4-960-609  
1686,1444,2,4-693-887  
1688,2049,2,7-680-672  
1691,760,2,6-300-146  
1692,2875,2,0-246-561  
1693,1560,2,(1) 432-089
1697,353,2,(0) 191-540
1700,439,2,(1) 234-775
1704,3672,2,1-732-783  
1708,1556,2,2-788-100  
1715,282,2,9-272-590  
1716,1045,2,(9) 630-337
1719,1367,2,(3) 855-357
1720,331,2,(4) 801-887
1724,295,2,3-207-715  
1730,1771,2,(4) 352-798
1731,518,2,(8) 435-397
1733,418,2,(2) 413-162
1738,2305,2,(2) 888-015
1739,3943,2,1-606-968  
1740,161,2,(4) 289-709
1742,385,2,(5) 565-114
1744,1552,2,3-136-577  
1745,311,2,7-579-739  
1747,1531,2,(6) 288-715
1752,484,2,(2) 354-678
1755,3172,2,7-455-798  
1757,3179,2,7-580-877  
1762,566,2,9-016-644  
1764,389,2,(4) 146-169
1769,1599,2,(9) 718-279
1770,851,2,6-717-550  
1771,3130,2,0-934-915  
1773,3216,2,5-635-394  
1774,1823,2,(2) 208-272
1776,3658,2,9-748-015  
1782,465,2,7-581-511  
1784,1702,2,(1) 311-345
1785,2961,2,(7) 121-192
1788,1070,2,(3) 383-398
1789,259,2,(6) 430-151
1790,2991,2,(6) 934-023
1792,380,2,0-338-798  
1793,1590,2,4-807-913  
1794,3608,2,(8) 001-002
1795,1480,2,(7) 758-886
1799,756,2,2-153-471  
1806,551,2,9-111-194  
1807,2166,2,(1) 206-650
1809,795,2,0-462-832  
1810,1218,2,3-818-594  
1811,2770,2,8-710-882  
1812,1149,2,5-370-118  
1813,3521,2,6-237-869  
1815,2998,2,1-303-759  
1819,777,2,(6) 675-173
1821,1447,2,(0) 493-430
1822,1954,2,(9) 763-314
1824,604,2,(5) 837-593
1825,879,2,9-943-638  
1826,292,2,2-975-826  
1827,326,2,(3) 558-954
1829,2845,2,8-728-925  
1830,3453,2,(3) 319-377
1831,1225,2,9-440-840  
1833,356,2,(3) 796-277
1834,1540,2,5-252-292  
1835,792,2,7-587-805  
1836,310,2,(6) 886-896
1837,948,2,(1) 834-439
1839,876,2,(5) 467-678
1841,520,2,(2) 039-252
1843,1618,2,6-225-915  
1845,3701,2,8-329-881  
1846,343,2,1-733-617  
1848,2945,2,(1) 649-821
1849,922,2,(3) 450-117
1855,3040,2,1-635-959  
1857,298,2,1-892-252  
1859,2924,2,(4) 363-889
1861,2803,2,(0) 886-621
1862,2701,2,3-239-705  
1863,3657,2,(9) 613-043
1865,2201,2,3-667-711  
1868,531,2,(5) 252-468
1869,65,2,4-664-820  
1870,3681,2,(6) 576-634
