ID_PO,MAPO,TRANGTHAI,NGAYPO,MINCODEPGH,LIENHE,NGAYGUIHANGDK,LOAIHINHNHAPKHO,GHICHU,DIACHIGIAOHANG,TONGTIEN,MA_MHVH,MAKHO,ID_NBH
24,89422101,1,1/1/2020 5:45,4.59386E+11,Pittman,1/1/2020 9:45,Nhập kho trực tiếp,7TT4V915R2ZNBUMZHGD0LVMZDI94GOS8PO1Y1B874JD7UKGC,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",2684000,MHVH003   ,KHO005    ,5061
25,68413176,0,1/1/2020 6:00,5.02E+12,Avila,1/1/2020 10:00,Nhập kho trực tiếp,,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",9422000,MHVH002   ,KHO002    ,1982
26,43171227,0,1/1/2020 6:15,4.42E+12,Barajas,1/1/2020 10:15,Nhập kho trực tiếp,6BY6FB6TQDZWO3AQXMS,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",1286000,MHVH004   ,KHO007    ,3047
27,69175318,1,1/1/2020 6:30,6.03E+12,Webster,1/1/2020 10:30,Nhập kho trực tiếp,Y575V2IF5S2X5UHHA,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",7228000,MHVH003   ,KHO005    ,5237
28,21580639,1,1/1/2020 6:45,8.47E+12,Cantu,1/1/2020 10:45,Nhập kho trực tiếp,8PS7KV88UAX4NTJCO13SADT,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",6285000,MHVH005   ,KHO008    ,2948
29,64035089,0,1/1/2020 7:00,2.87E+12,Beck,1/1/2020 11:00,Nhập kho trực tiếp,OYB2RULSGED,120 Phan Xích Long P3 Quận Bình Thạnh,12807000,MHVH004   ,KHO007    ,8248
30,52486645,1,1/1/2020 7:15,9.92E+12,Zavala,1/1/2020 11:15,Nhập kho trực tiếp,VQKBXN77H158DT6GEH8VV0JMK5G0P4O8FGGXGRUM5L9NS2,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",3776000,MHVH004   ,KHO007    ,220
31,71973214,1,1/1/2020 7:30,9.88E+12,Bonilla,1/1/2020 11:30,Nhập kho trực tiếp,YO4EY6I7V6XRR77I,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",14413000,MHVH002   ,KHO002    ,1778
32,52711880,1,1/1/2020 7:45,8.77E+12,Meyers,1/1/2020 11:45,Nhập kho trực tiếp,CXSXC80MMLP9QWUHHIBKQP2X8LQIZ2FX,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",22662000,MHVH005   ,KHO009    ,8243
33,55371014,1,1/1/2020 8:00,1.99E+10,Wells,1/1/2020 12:00,Nhập kho trực tiếp,WAVAQLF3SBKSX4A3AAOVYMNVVORHIMJ6R6TLY7QXWHYEH4,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",13374000,MHVH005   ,KHO008    ,6752
34,46997737,1,1/1/2020 8:15,7.11E+12,Kirby,1/1/2020 12:15,Nhập kho trực tiếp,GGEPSR24ANZF1UXL5RD0QBO43JRZHO9DQDA,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",864000,MHVH004   ,KHO006    ,2856
35,46164426,0,1/1/2020 8:30,5.45E+12,Gilbert,1/1/2020 12:30,Nhập kho trực tiếp,3XRFP2JYZSP2ZVTM33K5RAM9Z2NLDMOOJVI70YBOSQ5AUO0L,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,2650000,MHVH002   ,KHO002    ,6580
36,5325072,1,1/1/2020 8:45,7.66E+12,Eaton,1/1/2020 12:45,Nhập kho trực tiếp,N9MT5A,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1715000,MHVH003   ,KHO005    ,5675
37,8042186,1,1/1/2020 9:00,3.15E+12,Waters,1/1/2020 13:00,Nhập kho trực tiếp,AHFMEXKC3,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",3184000,MHVH004   ,KHO007    ,9479
38,21745681,0,1/1/2020 9:15,8.03E+12,Ayala,1/1/2020 13:15,Nhập kho trực tiếp,I3DLL5SVC14BEA22QQC1UELOWIJOAU5S7T6X7A14UXS9OZ34K,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",7015000,MHVH001   ,KHO001    ,9155
39,16385189,0,1/1/2020 9:30,4.71E+12,Cabrera,1/1/2020 13:30,Nhập kho trực tiếp,7UZ263HOO2L3LHVB4L45UFO77WLC0XFE4,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",21120000,MHVH004   ,KHO007    ,8000
40,65349188,1,1/1/2020 9:45,4.97E+12,Kline,1/1/2020 13:45,Nhập kho trực tiếp,NBS,"156 pAn Lạc A, QBình Tân, TpHCM",5817000,MHVH005   ,KHO009    ,9931
41,3291574,1,1/1/2020 10:00,5.50E+12,Chavez,1/1/2020 14:00,Nhập kho trực tiếp,M2FJMZIQCADDVH0EHR5SU9H5OQM7ZNUKIYY2QATPPGK,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",11456000,MHVH003   ,KHO005    ,2559
42,26423677,1,1/1/2020 10:15,5.82E+12,Potter,1/1/2020 14:15,Nhập kho trực tiếp,YM2YEQFW50ACK9UVCBROGSUWIYO6XF2DP66,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",9674000,MHVH002   ,KHO003    ,2111
43,14110663,0,1/1/2020 10:30,8.97E+12,Fernandez,1/1/2020 14:30,Nhập kho trực tiếp,OOT97XFHOLHGGYDEPVU6R5FG19YQYXND3T6NHHGIDD8XG7QZ,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",20610000,MHVH003   ,KHO005    ,6371
44,55945002,1,1/1/2020 10:45,1.04E+12,Bennett,1/1/2020 14:45,Nhập kho trực tiếp,ONUC09J9D7YZOJRY4DNRPW7EBTEXIZUIYO99S13JNE4AIIOU,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",19800000,MHVH005   ,KHO008    ,3997
45,3657750,0,1/1/2020 11:00,7.56E+12,Jones,1/1/2020 15:00,Nhập kho trực tiếp,YCU38BRFF06VMQDDG009H52A34,"233đường Trục, P.13, Q. BìnhThạnh",905000,MHVH004   ,KHO007    ,2961
46,2890497,0,1/1/2020 11:15,4.83E+12,Hall,1/1/2020 15:15,Nhập kho trực tiếp,SXWS4KFJNZEQCITD0WO1NQX1IOKZT9K030Z,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",5541000,MHVH002   ,KHO003    ,5865
47,21928027,1,1/1/2020 11:30,9.49E+12,Krause,1/1/2020 15:30,Nhập kho trực tiếp,J72A67PD2ANROS1DF2N10UAF,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",19336000,MHVH004   ,KHO006    ,4438
48,53834907,0,1/1/2020 11:45,7.41E+12,Lang,1/1/2020 15:45,Nhập kho trực tiếp,,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",2101000,MHVH002   ,KHO003    ,1506
49,74726092,0,1/1/2020 12:00,5.38E+12,Burnett,1/1/2020 16:00,Nhập kho trực tiếp,QEEEMBIATTTDVG0JZ71TB076K1DY,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",3128000,MHVH002   ,KHO003    ,1713
50,70565937,0,1/1/2020 12:15,2.85E+12,Pruitt,1/1/2020 16:15,Nhập kho trực tiếp,OWMAQHBYNNB8DY8J1770GV3E,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",7973000,MHVH001   ,KHO001    ,2827
51,27467996,1,1/1/2020 12:30,8.54E+11,Harvey,1/1/2020 16:30,Nhập kho trực tiếp,4P68TLYKS5W735YPKCKPLX1YNJT6X1TT74LR4QT2DO,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",14358000,MHVH004   ,KHO007    ,2768
52,23405427,1,1/1/2020 12:45,3.76E+12,Chung,1/1/2020 16:45,Nhập kho trực tiếp,TBCY28BWIJPK7N7KARRM,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",3369000,MHVH005   ,KHO009    ,8083
53,66737464,1,1/1/2020 13:00,3.67E+12,Crane,1/1/2020 17:00,Nhập kho trực tiếp,B3ZYJ6KTIIBWC,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",6936000,MHVH005   ,KHO009    ,7006
54,61099272,0,1/1/2020 13:15,5.12E+12,Small,1/1/2020 17:15,Nhập kho trực tiếp,NAKRYM5AAHKD4X5IAM1VH7C0I1Q201ENVFKAQ0T,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",8964000,MHVH005   ,KHO009    ,9701
55,17154305,0,1/1/2020 13:30,7.67E+12,Miller,1/1/2020 17:30,Nhập kho trực tiếp,,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",3510000,MHVH001   ,KHO001    ,7670
56,70883280,0,1/1/2020 13:45,9.20E+11,Sims,1/1/2020 17:45,Nhập kho trực tiếp,1THE52NNZ7OUGQFYK8XW2,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",17773000,MHVH001   ,KHO001    ,7164
57,17236510,0,1/1/2020 14:00,6.04E+12,Kane,1/1/2020 18:00,Nhập kho trực tiếp,93WIPCVS9T2AGEULCY3F0TPSEO4B5RW3HRKE,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",23680000,MHVH005   ,KHO009    ,9420
58,44082953,0,1/1/2020 14:15,5.69E+12,Sims,1/1/2020 18:15,Nhập kho trực tiếp,NDAR7XVS6913YWYSN9FE3408K,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,280000,MHVH001   ,KHO002    ,6813
59,34930994,1,1/1/2020 14:30,9.90E+11,Perkins,1/1/2020 18:30,Nhập kho trực tiếp,IXZTPTG3PLTNTVT08E2,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1811000,MHVH003   ,KHO006    ,2725
60,6350613,0,1/1/2020 14:45,9.49E+12,Benjamin,1/1/2020 18:45,Nhập kho trực tiếp,7VXATH4ZEIC17KFYSDK7MU6CZ0FKK2WL5BFMZOZ,"233đường Trục, P.13, Q. BìnhThạnh",411000,MHVH004   ,KHO006    ,7584
61,56324904,1,1/1/2020 15:00,2.56E+12,Greer,1/1/2020 19:00,Nhập kho trực tiếp,PGP68RG9FV7VUVLCOLBT2KFBMQWV5TZ4DCI55037,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3475000,NULL,NULL,NULL
62,63842431,0,1/1/2020 15:15,6.79E+12,Forbes,1/1/2020 19:15,Nhập kho trực tiếp,64PV1RAQ2XEC5551DKIVK3,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",8064000,MHVH005   ,KHO008    ,5827
63,24466802,1,1/1/2020 15:30,9.30E+12,Watts,1/1/2020 19:30,Nhập kho trực tiếp,V3HICF7OH49WFPGLZM5,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",24714000,MHVH002   ,KHO003    ,4210
64,18388513,0,1/1/2020 15:45,5.72E+12,Hubbard,1/1/2020 19:45,Nhập kho trực tiếp,WLR87D3SGLCZ2JTSK8XAV8W8V9QCXZI9F0PAB9BZBF8WRA,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",6612000,MHVH005   ,KHO009    ,338
65,30055310,0,1/1/2020 16:00,9.33E+12,Scott,1/1/2020 20:00,Nhập kho trực tiếp,VVN0QOU7N,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",13015000,MHVH002   ,KHO004    ,831
66,73998393,1,1/1/2020 16:15,1.33E+12,Levine,1/1/2020 20:15,Nhập kho trực tiếp,ICYMRUH23K2TJGAX,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",12285000,MHVH002   ,KHO003    ,4327
67,42993559,0,1/1/2020 16:30,4.34E+11,Hancock,1/1/2020 20:30,Nhập kho trực tiếp,YG,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",2468000,MHVH003   ,KHO005    ,2560
68,60421200,0,1/1/2020 16:45,1.13E+12,Lyons,1/1/2020 20:45,Nhập kho trực tiếp,,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",2252000,MHVH002   ,KHO003    ,2035
69,1979714,0,1/1/2020 17:00,7.48E+12,Estes,1/1/2020 21:00,Nhập kho trực tiếp,GLFUG9YRKKS1MSWCCKKRTOQQ2C6PSQWRNN1QISAKIAIZ9RWOEK,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",17736000,MHVH005   ,KHO008    ,6935
70,85776975,1,1/1/2020 17:15,9.43E+12,Petersen,1/1/2020 21:15,Nhập kho trực tiếp,EV87SVOR438YTO0DYR6UK,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",9330000,MHVH001   ,KHO001    ,5182
71,37865113,0,1/1/2020 17:30,8.02E+12,Goodwin,1/1/2020 21:30,Nhập kho trực tiếp,Z8I5QHAFIB85IVFG9VT06HACPB8DYW8Q04WZO,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1964000,MHVH003   ,KHO004    ,8449
72,32736697,1,1/1/2020 17:45,8.03E+12,Bentley,1/1/2020 21:45,Nhập kho trực tiếp,47GOKWQO55XHHA1J3H,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",14013000,MHVH001   ,KHO002    ,2763
73,31873652,0,1/1/2020 18:00,5.91E+12,Villa,1/1/2020 22:00,Nhập kho trực tiếp,6G,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",2265000,MHVH004   ,KHO006    ,2260
74,88102153,0,1/1/2020 18:15,6.89E+12,Beasley,1/1/2020 22:15,Nhập kho trực tiếp,8XHL3I4EZGRMRLJIXEL153FGFXOH1,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",10008000,MHVH004   ,KHO007    ,6739
75,42592395,1,1/1/2020 18:30,5.40E+12,Richard,1/1/2020 22:30,Nhập kho trực tiếp,1I6PZJ6YS8JR5HPVJFZKKJLF94H066T,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",15930000,MHVH001   ,KHO002    ,6837
76,33728748,1,1/1/2020 18:45,6.26E+11,Cannon,1/1/2020 22:45,Nhập kho trực tiếp,CLF9F1M0BYLCHDYYRJ,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",14085000,MHVH004   ,KHO006    ,7809
77,73965452,0,1/1/2020 19:00,2.88E+12,Bailey,1/1/2020 23:00,Nhập kho trực tiếp,8IGTHXRFU26SMFWEJ1GFHTZ9MY8XV6J,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",12123000,MHVH005   ,KHO009    ,9096
78,47593473,1,1/1/2020 19:15,1.93E+12,Mills,1/1/2020 23:15,Nhập kho trực tiếp,MSK4WSYBOLRY56ZXKYFWA3WFI67JOTKOJW5UU,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1668000,MHVH001   ,KHO001    ,1393
79,44720249,0,1/1/2020 19:30,2.61E+11,Massey,1/1/2020 23:30,Nhập kho trực tiếp,HQ34RV214FY,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",8526000,MHVH005   ,KHO008    ,979
80,25235739,1,1/1/2020 19:45,7.28E+12,Moss,1/1/2020 23:45,Nhập kho trực tiếp,DWRMYIV5MQLFNV12F8152TGOT6C0CH2RKDG,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",764000,MHVH004   ,KHO006    ,2735
81,79038300,0,1/1/2020 20:00,1.68E+11,Murphy,1/2/2020 0:00,Nhập kho trực tiếp,XWXMYP5R5OHWTZLWET,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",5816000,MHVH005   ,KHO009    ,6806
82,68473498,0,1/1/2020 20:15,7.92E+12,Hester,1/2/2020 0:15,Nhập kho trực tiếp,JF2TS6VS4OTU9EE5IAE7DNPI5OG6CV6DR5W7U35,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",8421000,MHVH003   ,KHO005    ,1262
83,34010839,1,1/1/2020 20:30,5.18E+12,Brewer,1/2/2020 0:30,Nhập kho trực tiếp,2W13CT8HFU3LZMUWQKO4QPF8IG33,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",238000,MHVH005   ,KHO008    ,1371
84,47896389,0,1/1/2020 20:45,6.15E+12,Davenport,1/2/2020 0:45,Nhập kho trực tiếp,7AF5Y4HMM6BGYRISKD5A0GAF1,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",20420000,MHVH003   ,KHO006    ,1205
85,48358490,1,1/1/2020 21:00,1.90E+12,Stafford,1/2/2020 1:00,Nhập kho trực tiếp,DGTLVP4Z7KOG0H,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",3350000,MHVH004   ,KHO007    ,9260
86,5566336,0,1/1/2020 21:15,7.91E+12,Baker,1/2/2020 1:15,Nhập kho trực tiếp,A4ECNSYXFX2YTHR0049R1S1AMCYJY43,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",9297000,MHVH002   ,KHO003    ,2044
87,64773769,0,1/1/2020 21:30,9.70E+12,O'Neal,1/2/2020 1:30,Nhập kho trực tiếp,NXQCV2DXFIDNTQBHGJOCRPCH34PBTEZBT,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",6708000,MHVH003   ,KHO005    ,5683
88,30185049,1,1/1/2020 21:45,9.70E+12,Ayala,1/2/2020 1:45,Nhập kho trực tiếp,BVRE4XQCCIEDH,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",6915000,MHVH002   ,KHO002    ,3394
89,16379605,0,1/1/2020 22:00,4.37E+11,Larsen,1/2/2020 2:00,Nhập kho trực tiếp,0G3EG,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",12900000,MHVH002   ,KHO003    ,3903
90,51840093,1,1/1/2020 22:15,6.62E+12,Barajas,1/2/2020 2:15,Nhập kho trực tiếp,LYK98RD230J,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",12474000,MHVH003   ,KHO005    ,4886
91,21538812,0,1/1/2020 22:30,9.76E+12,Nelson,1/2/2020 2:30,Nhập kho trực tiếp,T2FFQ1ERLFDT2PMTACBKV24DAI6DKO8BZCKEGKQ10P56KR6,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",25020000,MHVH001   ,KHO001    ,3331
92,63036778,1,1/1/2020 22:45,9.48E+12,Bradley,1/2/2020 2:45,Nhập kho trực tiếp,4JRQPY7QY247V17X61UP48D,"233đường Trục, P.13, Q. BìnhThạnh",6188000,MHVH005   ,KHO008    ,9434
93,5010039,1,1/1/2020 23:00,2.34E+12,Lawson,1/2/2020 3:00,Nhập kho trực tiếp,M9K6WYSJBN90XH,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",900000,MHVH005   ,KHO009    ,6870
94,83176733,1,1/1/2020 23:15,1.99E+12,Johns,1/2/2020 3:15,Nhập kho trực tiếp,04TGEGI6ZI8ZIWGEV61,"233đường Trục, P.13, Q. BìnhThạnh",8272000,MHVH003   ,KHO005    ,9313
95,55576466,0,1/1/2020 23:30,7.62E+12,Henry,1/2/2020 3:30,Nhập kho trực tiếp,FE1UZALW8R60OFTLASY943LNNZ9MU8DUVD6M3ZH4UMY7,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",8084000,MHVH005   ,KHO009    ,6711
96,1096708,0,1/1/2020 23:45,1.20E+12,Woods,1/2/2020 3:45,Nhập kho trực tiếp,8A32V337R0BSD6Z0Y1ZEB4B87HBBUFH5EC,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",12576000,MHVH004   ,KHO006    ,5791
97,95759154,1,1/2/2020 0:00,2.24E+12,Foster,1/2/2020 4:00,Nhập kho trực tiếp,O6JZ59N4DUTQTH3VKYSZ3ZUVESSC,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",14710000,MHVH005   ,KHO009    ,1783
