ID_DH,THOIGIANDAT,TRANGTHAI,THOIGIANGIAO,THOIGIANXN,DIACHIGIAOHANG,TONGCONG,ID_COUPONGIAMGIA,MA_HTGH,MA_HTTT,ID_KH,ID_NV,ID_PO
11,1/1/2020 2:30,2,1/8/2020 2:30,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,979,HTGH003   ,HTTT005   ,5286,321,849
12,1/1/2020 2:45,6,NULL,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,1625,HTGH001   ,HTTT001   ,4822,335,33
13,1/1/2020 3:00,3,1/8/2020 3:00,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,146,HTGH002   ,HTTT003   ,2289,129,527
14,1/1/2020 3:15,4,1/8/2020 3:15,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,80,HTGH003   ,HTTT004   ,8873,437,688
15,1/1/2020 3:30,6,NULL,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,2113,HTGH001   ,HTTT001   ,122,479,82
16,1/1/2020 3:45,6,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1980,HTGH002   ,HTTT003   ,9963,2,454
17,1/1/2020 4:00,4,1/8/2020 4:00,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,619,HTGH003   ,HTTT005   ,5490,210,989
18,1/1/2020 4:15,6,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1450,HTGH003   ,HTTT004   ,700,109,763
19,1/1/2020 4:30,4,1/8/2020 4:30,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,961,HTGH002   ,HTTT002   ,5017,464,382
20,1/1/2020 4:45,4,1/8/2020 4:45,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1769,HTGH003   ,HTTT005   ,99,257,958
21,1/1/2020 5:00,5,1/8/2020 5:00,1/9/2020 5:00,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,318,HTGH003   ,HTTT004   ,7460,491,716
22,1/1/2020 5:15,5,1/8/2020 5:15,1/9/2020 5:15,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,2121,HTGH001   ,HTTT002   ,9986,267,1005
23,1/1/2020 5:30,1,NULL,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,1490,HTGH003   ,HTTT004   ,1809,330,795
24,1/1/2020 5:45,5,1/8/2020 5:45,1/9/2020 5:45,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,1697,HTGH002   ,HTTT003   ,6928,406,458
25,1/1/2020 6:00,5,1/8/2020 6:00,1/9/2020 6:00,"233đường Trục, P.13, Q. BìnhThạnh",0,2054,HTGH001   ,HTTT002   ,797,258,222
26,1/1/2020 6:15,4,1/8/2020 6:15,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,258,HTGH003   ,HTTT004   ,3789,26,719
27,1/1/2020 6:30,1,NULL,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,181,HTGH002   ,HTTT003   ,4212,17,488
28,1/1/2020 6:45,2,1/8/2020 6:45,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,88,HTGH003   ,HTTT005   ,1825,76,879
29,1/1/2020 7:00,3,1/8/2020 7:00,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,2127,HTGH003   ,HTTT004   ,6344,396,736
30,1/1/2020 7:15,2,1/8/2020 7:15,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,963,HTGH003   ,HTTT004   ,6915,353,680
31,1/1/2020 7:30,3,1/8/2020 7:30,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,106,HTGH001   ,HTTT002   ,6555,389,219
32,1/1/2020 7:45,6,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,357,HTGH003   ,HTTT005   ,4959,435,897
33,1/1/2020 8:00,4,1/8/2020 8:00,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,1521,HTGH003   ,HTTT005   ,595,57,839
34,1/1/2020 8:15,3,1/8/2020 8:15,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,1773,HTGH002   ,HTTT004   ,5108,322,645
35,1/1/2020 8:30,3,1/8/2020 8:30,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,832,HTGH001   ,HTTT002   ,2074,389,220
36,1/1/2020 8:45,1,NULL,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,2209,HTGH002   ,HTTT003   ,42,492,482
37,1/1/2020 9:00,2,1/8/2020 9:00,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,51,HTGH003   ,HTTT004   ,1046,26,720
38,1/1/2020 9:15,1,NULL,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,1570,HTGH001   ,HTTT001   ,9700,13,101
39,1/1/2020 9:30,5,1/8/2020 9:30,1/9/2020 9:30,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,297,HTGH003   ,HTTT004   ,9285,26,1026
40,1/1/2020 9:45,5,1/8/2020 9:45,1/9/2020 9:45,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,889,HTGH003   ,HTTT005   ,2206,488,906
41,1/1/2020 10:00,3,1/8/2020 10:00,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,2195,HTGH002   ,HTTT003   ,4178,14,477
42,1/1/2020 10:15,5,1/8/2020 10:15,1/9/2020 10:15,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,2102,HTGH001   ,HTTT002   ,1827,498,326
43,1/1/2020 10:30,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,972,HTGH002   ,HTTT003   ,7157,373,469
44,1/1/2020 10:45,2,1/8/2020 10:45,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,394,HTGH003   ,HTTT005   ,5062,295,810
45,1/1/2020 11:00,5,1/8/2020 11:00,1/9/2020 11:00,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,1748,HTGH003   ,HTTT004   ,4823,98,765
46,1/1/2020 11:15,1,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,705,HTGH001   ,HTTT002   ,9728,30,295
47,1/1/2020 11:30,2,1/8/2020 11:30,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1088,HTGH002   ,HTTT004   ,7562,222,664
48,1/1/2020 11:45,6,NULL,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,681,HTGH001   ,HTTT002   ,2680,41,287
49,1/1/2020 12:00,5,1/8/2020 12:00,1/9/2020 12:00,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,404,HTGH001   ,HTTT002   ,6030,426,223
50,1/1/2020 12:15,2,1/8/2020 12:15,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,325,HTGH001   ,HTTT001   ,373,384,69
51,1/1/2020 12:30,2,1/8/2020 12:30,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,958,HTGH003   ,HTTT004   ,2200,20,694
52,1/1/2020 12:45,2,1/8/2020 12:45,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,324,HTGH003   ,HTTT005   ,1408,44,928
53,1/1/2020 13:00,2,1/8/2020 13:00,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,816,HTGH003   ,HTTT005   ,6129,107,929
54,1/1/2020 13:15,5,1/8/2020 13:15,1/9/2020 13:15,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1881,HTGH003   ,HTTT005   ,5534,198,901
55,1/1/2020 13:30,6,NULL,NULL,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",0,984,HTGH001   ,HTTT001   ,4354,352,94
56,1/1/2020 13:45,4,1/8/2020 13:45,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,236,HTGH001   ,HTTT001   ,5319,293,107
57,1/1/2020 14:00,3,1/8/2020 14:00,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,27,HTGH003   ,HTTT005   ,4981,408,954
58,1/1/2020 14:15,5,1/8/2020 14:15,1/9/2020 14:15,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,1634,HTGH001   ,HTTT001   ,7386,363,149
59,1/1/2020 14:30,3,1/8/2020 14:30,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,632,HTGH002   ,HTTT003   ,4593,425,570
60,1/1/2020 14:45,1,NULL,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,855,HTGH002   ,HTTT004   ,6707,95,619
61,1/1/2020 15:00,6,NULL,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,NULL,NULL,NULL,NULL,NULL,NULL
62,1/1/2020 15:15,4,1/8/2020 15:15,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,1044,HTGH003   ,HTTT005   ,4270,237,851
63,1/1/2020 15:30,1,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1012,HTGH001   ,HTTT002   ,1675,494,282
64,1/1/2020 15:45,4,1/8/2020 15:45,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,1786,HTGH003   ,HTTT005   ,522,465,959
65,1/1/2020 16:00,2,1/8/2020 16:00,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1115,HTGH002   ,HTTT002   ,8590,379,388
66,1/1/2020 16:15,2,1/8/2020 16:15,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1770,HTGH001   ,HTTT002   ,2265,494,281
67,1/1/2020 16:30,3,1/8/2020 16:30,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,2204,HTGH002   ,HTTT003   ,7125,323,532
68,1/1/2020 16:45,1,NULL,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,931,HTGH001   ,HTTT002   ,3086,494,1065
69,1/1/2020 17:00,2,1/8/2020 17:00,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,547,HTGH003   ,HTTT005   ,708,214,847
70,1/1/2020 17:15,6,NULL,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,162,HTGH001   ,HTTT001   ,5649,178,105
71,1/1/2020 17:30,5,1/8/2020 17:30,1/9/2020 17:30,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,94,HTGH002   ,HTTT003   ,5916,54,402
72,1/1/2020 17:45,3,1/8/2020 17:45,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,2175,HTGH001   ,HTTT001   ,1365,205,131
73,1/1/2020 18:00,2,1/8/2020 18:00,NULL,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",0,1307,HTGH002   ,HTTT004   ,4120,250,616
74,1/1/2020 18:15,5,1/8/2020 18:15,1/9/2020 18:15,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,876,HTGH003   ,HTTT004   ,2821,356,686
75,1/1/2020 18:30,2,1/8/2020 18:30,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,564,HTGH001   ,HTTT001   ,5746,1,173
76,1/1/2020 18:45,1,NULL,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,824,HTGH002   ,HTTT004   ,6828,94,610
77,1/1/2020 19:00,6,NULL,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,923,HTGH003   ,HTTT005   ,9144,427,998
78,1/1/2020 19:15,5,1/8/2020 19:15,1/9/2020 19:15,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1514,HTGH001   ,HTTT001   ,2051,159,64
79,1/1/2020 19:30,1,NULL,NULL,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,1545,HTGH003   ,HTTT005   ,7258,276,843
80,1/1/2020 19:45,5,1/8/2020 19:45,1/9/2020 19:45,120 Phan Xích Long P3 Quận Bình Thạnh,0,1684,HTGH002   ,HTTT004   ,7332,322,646
81,1/1/2020 20:00,3,1/8/2020 20:00,NULL,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,2100,HTGH003   ,HTTT005   ,9066,3,971
82,1/1/2020 20:15,1,NULL,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,3,HTGH002   ,HTTT003   ,8487,403,513
83,1/1/2020 20:30,3,1/8/2020 20:30,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1737,HTGH003   ,HTTT005   ,4804,318,814
84,1/1/2020 20:45,1,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,438,HTGH002   ,HTTT003   ,4266,388,576
85,1/1/2020 21:00,6,NULL,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,952,HTGH003   ,HTTT004   ,3749,61,673
86,1/1/2020 21:15,1,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1817,HTGH001   ,HTTT002   ,3052,97,302
87,1/1/2020 21:30,5,1/8/2020 21:30,1/9/2020 21:30,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,271,HTGH002   ,HTTT003   ,1526,485,466
88,1/1/2020 21:45,6,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,688,HTGH001   ,HTTT002   ,2959,111,217
89,1/1/2020 22:00,3,1/8/2020 22:00,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,1440,HTGH001   ,HTTT002   ,7604,279,231
90,1/1/2020 22:15,6,NULL,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,260,HTGH002   ,HTTT003   ,6892,46,447
91,1/1/2020 22:30,4,1/8/2020 22:30,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1439,HTGH001   ,HTTT001   ,9477,32,20
92,1/1/2020 22:45,3,1/8/2020 22:45,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,1382,HTGH003   ,HTTT005   ,1513,411,817
93,1/1/2020 23:00,5,1/8/2020 23:00,1/9/2020 23:00,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,487,HTGH003   ,HTTT005   ,6645,483,914
94,1/1/2020 23:15,4,1/8/2020 23:15,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1018,HTGH002   ,HTTT003   ,9161,410,510
95,1/1/2020 23:30,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,759,HTGH003   ,HTTT005   ,9154,233,994
96,1/1/2020 23:45,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,1767,HTGH002   ,HTTT004   ,8054,253,654
97,1/2/2020 0:00,4,1/9/2020 0:00,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,479,HTGH003   ,HTTT005   ,1250,247,968
98,1/2/2020 0:15,3,1/9/2020 0:15,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,424,HTGH003   ,HTTT004   ,4362,296,773
99,1/2/2020 0:30,6,NULL,NULL,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,585,HTGH002   ,HTTT003   ,9273,454,421
100,1/2/2020 0:45,3,1/9/2020 0:45,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,1424,HTGH003   ,HTTT005   ,3378,248,886
101,1/2/2020 1:00,5,1/9/2020 1:00,1/10/2020 1:00,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,412,HTGH001   ,HTTT002   ,6853,211,256
102,1/2/2020 1:15,2,1/9/2020 1:15,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,2023,HTGH003   ,HTTT005   ,1966,435,898
103,1/2/2020 1:30,5,1/9/2020 1:30,1/10/2020 1:30,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,648,HTGH003   ,HTTT005   ,8796,399,883
104,1/2/2020 1:45,6,NULL,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1351,HTGH003   ,HTTT004   ,9759,320,786
105,1/2/2020 2:00,4,1/9/2020 2:00,NULL,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",0,1277,HTGH002   ,HTTT002   ,1697,112,353
106,1/2/2020 2:15,5,1/9/2020 2:15,1/10/2020 2:15,"156 pAn Lạc A, QBình Tân, TpHCM",0,127,HTGH001   ,HTTT001   ,6301,335,34
107,1/2/2020 2:30,1,NULL,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,1739,HTGH001   ,HTTT001   ,1590,336,122
108,1/2/2020 2:45,3,1/9/2020 2:45,NULL,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,2044,HTGH002   ,HTTT003   ,530,196,497
109,1/2/2020 3:00,3,1/9/2020 3:00,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1590,HTGH001   ,HTTT002   ,9501,288,262
110,1/2/2020 3:15,6,NULL,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,881,HTGH001   ,HTTT002   ,4463,149,243
111,1/2/2020 3:30,5,1/9/2020 3:30,1/10/2020 3:30,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,77,HTGH001   ,HTTT001   ,9684,428,134
112,1/2/2020 3:45,4,1/9/2020 3:45,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,30,HTGH002   ,HTTT003   ,8276,60,560
113,1/2/2020 4:00,5,1/9/2020 4:00,1/10/2020 4:00,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,1588,HTGH002   ,HTTT002   ,6735,204,342
114,1/2/2020 4:15,4,1/9/2020 4:15,NULL,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,105,HTGH001   ,HTTT001   ,531,326,98
115,1/2/2020 4:30,4,1/9/2020 4:30,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,1163,HTGH003   ,HTTT004   ,8221,150,711
116,1/2/2020 4:45,5,1/9/2020 4:45,1/10/2020 4:45,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,1534,HTGH002   ,HTTT004   ,4491,458,652
117,1/2/2020 5:00,1,NULL,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,739,HTGH001   ,HTTT002   ,2103,148,265
118,1/2/2020 5:15,6,NULL,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,966,HTGH001   ,HTTT001   ,5914,67,196
119,1/2/2020 5:30,4,1/9/2020 5:30,NULL,120 Phan Xích Long P3 Quận Bình Thạnh,0,716,HTGH002   ,HTTT003   ,7265,289,492
120,1/2/2020 5:45,2,1/9/2020 5:45,NULL,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,907,HTGH001   ,HTTT002   ,660,364,320
121,1/2/2020 6:00,4,1/9/2020 6:00,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,796,HTGH001   ,HTTT002   ,8491,101,245
122,1/2/2020 6:15,3,1/9/2020 6:15,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,1087,HTGH002   ,HTTT004   ,4321,120,611
123,1/2/2020 6:30,4,1/9/2020 6:30,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,NULL,NULL,NULL,NULL,NULL,NULL
124,1/2/2020 6:45,2,1/9/2020 6:45,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1240,HTGH003   ,HTTT005   ,3999,118,962
125,1/2/2020 7:00,2,1/9/2020 7:00,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,1246,HTGH003   ,HTTT004   ,4300,296,1097
126,1/2/2020 7:15,2,1/9/2020 7:15,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,934,HTGH001   ,HTTT001   ,6168,431,191
127,1/2/2020 7:30,5,1/9/2020 7:30,1/10/2020 7:30,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,432,HTGH001   ,HTTT001   ,5010,474,111
128,1/2/2020 7:45,4,1/9/2020 7:45,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,840,HTGH001   ,HTTT001   ,746,13,102
129,1/2/2020 8:00,6,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1659,HTGH002   ,HTTT004   ,3150,71,643
130,1/2/2020 8:15,3,1/9/2020 8:15,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,1866,HTGH001   ,HTTT002   ,157,433,242
131,1/2/2020 8:30,3,1/9/2020 8:30,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,2083,HTGH003   ,HTTT005   ,9403,362,860
132,1/2/2020 8:45,3,1/9/2020 8:45,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,602,HTGH003   ,HTTT005   ,1070,77,908
133,1/2/2020 9:00,6,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,262,HTGH002   ,HTTT003   ,9361,446,461
134,1/2/2020 9:15,4,1/9/2020 9:15,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,1125,HTGH003   ,HTTT004   ,9384,262,779
135,1/2/2020 9:30,1,NULL,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,1333,HTGH002   ,HTTT004   ,6623,327,648
136,1/2/2020 9:45,1,NULL,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,166,HTGH002   ,HTTT004   ,7099,94,609
137,1/2/2020 10:00,2,1/9/2020 10:00,NULL,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,624,HTGH002   ,HTTT004   ,4702,445,624
138,1/2/2020 10:15,4,1/9/2020 10:15,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1065,HTGH003   ,HTTT005   ,3423,269,874
139,1/2/2020 10:30,4,1/9/2020 10:30,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,391,HTGH001   ,HTTT001   ,9013,369,138
140,1/2/2020 10:45,2,1/9/2020 10:45,NULL,"233đường Trục, P.13, Q. BìnhThạnh",0,NULL,NULL,NULL,NULL,NULL,NULL
141,1/2/2020 11:00,6,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,392,HTGH003   ,HTTT004   ,2818,61,1084
142,1/2/2020 11:15,2,1/9/2020 11:15,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,730,HTGH003   ,HTTT005   ,524,414,867
143,1/2/2020 11:30,3,1/9/2020 11:30,NULL,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,164,HTGH003   ,HTTT004   ,5707,4,787
144,1/2/2020 11:45,4,1/9/2020 11:45,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,1202,HTGH003   ,HTTT005   ,6539,272,830
145,1/2/2020 12:00,2,1/9/2020 12:00,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,1144,HTGH002   ,HTTT003   ,1503,496,523
146,1/2/2020 12:15,6,NULL,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,1472,HTGH002   ,HTTT004   ,9880,345,635
