ID_VOUCHER,SONHA,DUONG,QUAN,THANHPHO
135,Akron,Hồ Xuân Hương,Bình Thạnh,Tỉnh Hà Nam
136,Greensboro,Hẻm 120 Trần Hưng Ðạo,Quận 3,Tỉnh Hà Giang
137,Mobile,Nguyễn Thị Nghĩa,Quận 6,Thành phố Hà Nội
138,Chicago,Hẻm 1005 Trần Xuân Soạn,Phú Nhuận,Tỉnh Hà Giang
139,St. Louis,Đường Số 40,Quận 12,Tỉnh An Giang
140,Anaheim,NguyễN TấT ThàNh,Quận 1,Thành phố Cần Thơ
141,Tampa,3 Tháng 2,Bình Thạnh,Tỉnh Hà Tĩnh
142,Montgomery,Bùi Đình Tuý,Quận 12,Tỉnh Hưng Yên
143,St. Louis,Lê Văn Khương,Quận 8,Thành phố Đà Nẵng
144,Shreveport,Tỉnh Lộ 743c,Phú Nhuận,Thành phố Hải Phòng
145,Louisville,Nguyễn Thái Sơn,Quận 3,Tỉnh Hà Tĩnh
146,Dayton,Ðinh Tiên Hoàng,Quận 3,Tỉnh Hà Giang
147,Tampa,Tống Văn Trân,Bình Thạnh,Tỉnh Hà Tĩnh
148,Phoenix,Tân Chánh Hiệp 10,Quận 6,Tỉnh Hà Tĩnh
149,New Orleans,Hẻm 778 Nguyễn Kiệm,Quận 12,Tỉnh Hà Giang
150,Dayton,Hẻm 53/1 Trần Khánh Dư,Quận 3,Tỉnh Hà Giang
151,Austin,Hẻm 299 Lý Thường Kiệt,Tân Phú,Thành phố Hải Phòng
152,Montgomery,Đường Song Hành,Quận 11,Thành phố Hải Phòng
153,Spokane,Đường D2,Quận 12,Tỉnh Hà Tĩnh
154,Boston,Quang Trung,Quận 11,Tỉnh Hà Giang
155,Jackson,Tô Ký,Quận 12,Thành phố Đà Nẵng
156,Austin,An Phú Tây - Hưng Long,Quận 3,Tỉnh Hưng Yên
157,New York,Tôn Đức Thắng,Quận 4,Thành phố Cần Thơ
158,Des Moines,Hẻm 300 Nguyễn Văn Linh,Quận 3,Tỉnh An Giang
159,Greensboro,Hẻm 119/2 Nguyễn Thị Thập,Tân Phú,Thành phố Hà Nội
160,Las Vegas,Trần Đại Nghĩa,Gò Vấp,Thành phố Hải Phòng
161,Nashville,Lý Văn Phức,Gò Vấp,Thành phố Hà Nội
162,Norfolk,Nguyễn Thị Thập,Quận 6,Tỉnh Hòa Bình
163,Raleigh,Hẻm 39 Bùi Văn Ba,Quận 4,Thành phố Hải Phòng
164,Jacksonville,Đường 59,Quận 11,Tỉnh Hà Giang
165,Houston,Nhuận Đức,Quận 11,Tỉnh Hà Nam
166,Spokane,Phùng Văn Cung,Tân Phú,Thành phố Đà Nẵng
167,Wichita,Nguyễn Đình Chính,Quận 7,Tỉnh An Giang
168,Cincinnati,Bình Phú,Quận 7,Tỉnh Hà Nam
169,Phoenix,Cầu Vượt An Sương,Quận 5,Tỉnh Hà Nam
170,Las Vegas,Tân Phú,Quận 7,Tỉnh Hòa Bình
171,Bakersfield,Nguyễn Oanh,Bình Thạnh,Thành phố Hồ Chí Minh
172,Rochester,Đường Số 10,Bình Tân,Thành phố Hồ Chí Minh
173,Tampa,Hoàng Hoa Thám,Quận 6,Thành phố Hồ Chí Minh
174,Philadelphia,Hồ Biểu Chánh,Gò Vấp,Thành phố Hồ Chí Minh
175,Fort Wayne,Ngô Quyền,Quận 1,Thành phố Hà Nội
176,Mobile,Lê Quý Đôn,Bình Thạnh,Tỉnh Hà Giang
177,Anchorage,Trần Phú,Quận 7,Tỉnh Hòa Bình
178,Oklahoma,Nguyễn Thiệp,Gò Vấp,Thành phố Hà Nội
179,Glendale,Hậu Giang,Phú Nhuận,Tỉnh Hà Tĩnh
180,Louisville,Cầu Lê Văn Sỹ,Phú Nhuận,Tỉnh Hưng Yên
181,San Francisco,Hẻm 361 Nguyễn Ðình Chiểu,Quận 7,Tỉnh Hưng Yên
182,St. Louis,Cô Giang,Quận 12,Tỉnh Hà Giang
183,Buffalo,Nguyễn Khắc Nhu,Quận 11,Tỉnh Hòa Bình
184,Fort Wayne,Huỳnh Đình Hai,Quận 11,Tỉnh Hà Nam
185,Long Beach,Nguyễn Ư Dĩ,Quận 3,Thành phố Đà Nẵng
186,Dallas,Võ Thị Sáu,Quận 3,Tỉnh Gia Lai
187,Grand Rapids,Hẻm 749 Huỳnh Tấn Phát,Quận 1,Tỉnh An Giang
188,Montgomery,Cầu Thị Nghè,Quận 12,Tỉnh Hưng Yên
189,San Jose,Song Hành 22,Bình Tân,Tỉnh Hưng Yên
190,Charlotte,Cầu Vượt An Sương,Tân Phú,Thành phố Cần Thơ
191,Dayton,Suối Lội,Bình Thạnh,Thành phố Hồ Chí Minh
192,St. Petersburg,Trần Hữu Trang,Quận 5,Thành phố Hà Nội
193,Yonkers,Hẻm 106/47 Bình Lợi,Bình Tân,Thành phố Hà Nội
194,Fort Wayne,Ba Đình,Tân Phú,Tỉnh Hưng Yên
195,Jersey,Trần Hòa,Quận 3,Thành phố Cần Thơ
196,St. Louis,Ký Con,Bình Tân,Tỉnh Hà Nam
197,Phoenix,Nguyễn Khắc Nhu,Tân Phú,Thành phố Đà Nẵng
198,Memphis,Chợ Lớn,Quận 12,Thành phố Cần Thơ
199,Miami,Lê Ngô Cát,Quận 3,Thành phố Hải Phòng
200,Indianapolis,Tỉnh Lộ 10,Quận 5,Tỉnh An Giang
201,Sacramento,Lê Văn Khương,Quận 7,Thành phố Cần Thơ
202,New Orleans,Bình Thới,Quận 1,Thành phố Hải Phòng
203,Norfolk,Lê Trọng Tấn,Bình Tân,Tỉnh An Giang
204,New Orleans,Trần Hòa,Quận 11,Thành phố Hồ Chí Minh
205,Tacoma,Bùi Thị Xuân,Tân Phú,Thành phố Đà Nẵng
206,San Jose,Hải Thượng Lãn Ông,Quận 12,Thành phố Cần Thơ
207,Cleveland,Tân Chánh Hiệp 21,Quận 4,Tỉnh Gia Lai
208,Boston,Hẻm 2 Nguyễn Huệ,Gò Vấp,Thành phố Hà Nội
209,Albuquerque,Nguyễn Trọng Tuyển,Quận 10,Tỉnh Gia Lai
210,Garland,Vĩnh Khánh,Gò Vấp,Tỉnh Hà Giang
211,Jacksonville,Đồng Đen,Tân Phú,Tỉnh Hà Tĩnh
212,Spokane,Cầu Rạch Ông,Tân Bình,Tỉnh Hà Tĩnh
213,Indianapolis,Lê Trọng Tấn,Quận 3,Thành phố Hồ Chí Minh
214,Dallas,Nguyễn Khoái,Quận 11,Thành phố Cần Thơ
215,San Antonio,Phan Đăng Lưu,Quận 4,Thành phố Hồ Chí Minh
216,Tacoma,Lê Hồng Phong,Quận 6,Tỉnh Hà Tĩnh
217,Tampa,Bà Huyện Thanh Quan,Tân Bình,Thành phố Hà Nội
219,Anchorage,Nguyễn Hữu Cảnh,Quận 7,Tỉnh An Giang
220,Los Angeles,Tô Ký,Quận 7,Tỉnh Hưng Yên
221,Tacoma,Ngô Quyền,Quận 1,Thành phố Hồ Chí Minh
222,Phoenix,Bạch Đằng,Quận 7,Thành phố Đà Nẵng
223,Santa Ana,Nguyễn Ðình Chiểu,Quận 1,Thành phố Cần Thơ
224,New Orleans,Lê Hồng Phong,Tân Phú,Tỉnh Hà Nam
225,Oklahoma,Hẻm 58 Phạm Ngọc Thạch,Quận 5,Tỉnh Hà Giang
226,Dallas,Đồng Văn Cống,Quận 7,Tỉnh Hưng Yên
227,Phoenix,Chợ Lớn,Bình Thạnh,Tỉnh Gia Lai
228,Phoenix,Dương Quảng Hàm,Tân Phú,Tỉnh Hà Tĩnh
229,Birmingham,Mạc Thị Bưởi,Quận 8,Thành phố Hải Phòng
230,Lubbock,Trần Bình Trọng,Tân Bình,Tỉnh Hà Tĩnh
231,Louisville,Đường Dẫn Vào Cao Tốc Trung Lương,Bình Thạnh,Thành phố Cần Thơ
232,Albuquerque,Cầu Đỏ,Quận 1,Tỉnh Hà Tĩnh
233,Baltimore,Nguyễn Xí,Tân Phú,Tỉnh Hưng Yên
234,Santa Ana,Tôn Đức Thắng,Bình Tân,Tỉnh An Giang
235,Minneapolis,PhạM Văn ĐồNg,Bình Thạnh,Thành phố Hải Phòng
237,San Antonio,Tân Hoá,Quận 5,Tỉnh Hà Nam
238,Buffalo,Cầu Vượt Ngã Tư Vũng Tàu,Bình Thạnh,Thành phố Hải Phòng
239,St. Louis,Bùi Viện,Bình Thạnh,Thành phố Hải Phòng
240,Indianapolis,Ngô Quyền,Tân Bình,Tỉnh Hà Nam
241,Aurora,Nguyễn Trung Trực,Phú Nhuận,Thành phố Hải Phòng
242,Dallas,Nguyễn Sơn Hà,Quận 10,Tỉnh An Giang
243,Mobile,Phan Xích Long,Quận 10,Thành phố Hải Phòng
244,San Diego,Nguyễn Văn Giai,Quận 1,Tỉnh Gia Lai
245,Bakersfield,Hoàng Hoa Thám,Quận 5,Thành phố Hải Phòng
246,Santa Ana,Mạc Thiên Tích,Quận 10,Tỉnh Hưng Yên
247,Cleveland,Đường Số 1,Quận 8,Tỉnh Gia Lai
248,Dallas,Vĩnh Lộc,Quận 7,Thành phố Đà Nẵng
249,Milwaukee,Bùi Hữu Nghĩa,Quận 11,Tỉnh An Giang
250,Jackson,Cống Quỳnh,Quận 8,Tỉnh Hà Giang
251,Houston,Nguyễn Thượng Hiền,Tân Phú,Tỉnh Hưng Yên
252,Norfolk,Cầu Vượt Ngã Tư Hàng Xanh,Phú Nhuận,Thành phố Đà Nẵng
253,Boston,Khánh Hội,Quận 8,Thành phố Hà Nội
254,Little Rock,Hoa Hồng,Phú Nhuận,Thành phố Cần Thơ
256,Cleveland,Hẻm 98 Bùi Văn Ba,Bình Tân,Thành phố Hải Phòng
257,Colorado,Hẻm 98 Bùi Văn Ba,Quận 7,Tỉnh Hà Nam
258,Mobile,Phạm Hữu Lầu,Quận 4,Thành phố Cần Thơ
259,Toledo,Nguyễn Kiệm,Quận 4,Thành phố Hà Nội
260,Mesa,Hẻm 100 Bình Thới,Quận 11,Tỉnh Hưng Yên
261,Mobile,Lê Trọng Tấn,Quận 10,Tỉnh Hà Nam
262,Richmond,Trần Kế Xương,Quận 4,Tỉnh Hà Nam
263,Bakersfield,Lê Văn Sỹ,Quận 12,Thành phố Hải Phòng
264,Cleveland,Phạm Ngọc Thạch,Phú Nhuận,Tỉnh An Giang
265,Columbus,Ba Vì,Quận 1,Thành phố Đà Nẵng
266,Bakersfield,Quang Trung,Quận 8,Thành phố Hồ Chí Minh
267,St. Louis,Cầu Rạch Chiếc 1,Quận 1,Thành phố Hải Phòng
268,Rochester,Nguyễn Duy Dương,Quận 1,Tỉnh An Giang
269,Washington,Hẻm Chính Lộ,Quận 6,Thành phố Cần Thơ
270,Akron,Phan Anh,Quận 12,Thành phố Hà Nội
271,Austin,Tân Khai,Quận 1,Thành phố Hải Phòng
272,Glendale,Lê Văn Sỹ,Bình Tân,Thành phố Đà Nẵng
274,Cincinnati,Nguyễn Tất Thành,Quận 5,Tỉnh Gia Lai
275,Louisville,Mai Thị Lựu,Quận 10,Thành phố Hải Phòng
276,Fremont,Đường Số 1,Bình Thạnh,Thành phố Hà Nội
277,Tacoma,Kinh Dương Vương,Quận 7,Tỉnh Gia Lai
278,Mobile,Lý Thường Kiệt,Phú Nhuận,Thành phố Hải Phòng
279,Mesa,Cầu Calmette,Quận 1,Thành phố Cần Thơ
280,Bakersfield,Hẻm 77 Quốc Lộ 13,Quận 11,Tỉnh Hà Nam
281,Raleigh,Thạch Thị Thanh,Quận 7,Thành phố Hồ Chí Minh
282,Tucson,Nguyễn Trọng Tuyển,Gò Vấp,Tỉnh Gia Lai
283,Jersey,Hẻm 120 Trần Quốc Thảo,Gò Vấp,Tỉnh Hà Nam
284,Los Angeles,Đại Lộ Độc Lập,Quận 12,Tỉnh Hà Tĩnh
285,Washington,Quốc Lộ 22,Quận 12,Tỉnh Hà Nam
286,Akron,Hẻm 1092 Huỳnh Tấn Phát,Quận 4,Thành phố Hải Phòng
287,Mesa,Hẻm 153 Nguyễn Thị Minh Khai,Quận 8,Thành phố Hải Phòng
288,Sacramento,Hồ Biểu Chánh,Quận 8,Thành phố Hải Phòng
289,Jackson,Chu Mạnh Trinh,Quận 3,Tỉnh Hà Nam
290,Sacramento,Hẻm 98 Bùi Văn Ba,Quận 10,Thành phố Hà Nội
291,Hialeah,Nguyễn Thị Tú,Quận 11,Tỉnh Hà Tĩnh
292,Long Beach,Ðồng Khởi,Gò Vấp,Tỉnh Gia Lai
293,Mesa,Cầu Kênh Tẻ,Quận 6,Tỉnh Hà Giang
294,Santa Ana,Hồ Đắc Di,Quận 11,Thành phố Hà Nội
295,St. Louis,ĐoàN Văn Bơ,Quận 6,Tỉnh Hà Nam
296,Long Beach,NguyễN TấT ThàNh,Quận 7,Tỉnh Hà Nam
297,Philadelphia,Lý Thường Kiệt,Quận 3,Thành phố Hồ Chí Minh
298,Garland,Suối Lội,Bình Thạnh,Thành phố Hồ Chí Minh
299,New York,Nguyễn Trọng Tuyển,Phú Nhuận,Thành phố Cần Thơ
300,Detroit,An Dương Vương,Tân Bình,Tỉnh Hà Nam
301,Baton Rouge,Nguyễn Thị Định,Bình Tân,Tỉnh Hòa Bình
302,Pittsburgh,Trịnh Văn Cấn,Bình Thạnh,Tỉnh Hà Tĩnh
303,Houston,Đào Duy Anh,Phú Nhuận,Tỉnh An Giang
304,Charlotte,PhạM Văn ĐồNg,Quận 7,Thành phố Hải Phòng
305,Tacoma,Cầu Vượt Vòng Xoay Cây Gõ,Quận 7,Thành phố Hà Nội
306,San Antonio,Phạm Ngọc Thạch,Quận 10,Thành phố Hồ Chí Minh
307,Glendale,Đoàn Thị Điểm,Tân Phú,Thành phố Đà Nẵng
308,Arlington,Hẻm 80 Trần Quang Diệu,Tân Bình,Thành phố Hà Nội
309,Virginia Beach,Trần Văn Giàu,Quận 1,Tỉnh Hà Tĩnh
310,Columbus,Võ Văn Kiệt,Quận 12,Thành phố Cần Thơ
311,Greensboro,Bà Huyện Thanh Quan,Quận 11,Thành phố Hải Phòng
313,Tulsa,Nguyễn Thông,Quận 3,Thành phố Đà Nẵng
314,San Diego,Xa Lộ Hà Nội,Quận 3,Thành phố Hồ Chí Minh
315,Riverside,Châu Văn Liêm,Quận 10,Tỉnh Hà Tĩnh
316,Toledo,Trần Nhân Tôn,Quận 6,Tỉnh Hòa Bình
317,Baltimore,Hồ Tùng Mậu,Quận 1,Thành phố Hà Nội
318,Phoenix,Ngô Gia Tự,Quận 3,Tỉnh Hòa Bình
319,Raleigh,Hoàng Văn Thái,Quận 4,Thành phố Hải Phòng
320,Akron,Hồ Đắc Di,Quận 7,Tỉnh Hòa Bình
321,Tucson,Thiên Phước,Tân Phú,Thành phố Cần Thơ
322,Tulsa,Cầu Phú Mỹ,Tân Phú,Tỉnh An Giang
323,Toledo,Nguyễn Xí,Quận 1,Tỉnh Hà Nam
324,Minneapolis,Hẻm 288 Nam Kỳ Khởi Nghĩa,Quận 3,Thành phố Hải Phòng
325,Charlotte,Phan Huy Ích,Quận 7,Thành phố Hải Phòng
326,Fresno,Trần Nhân Tôn,Gò Vấp,Tỉnh Hà Tĩnh
327,Los Angeles,An Điềm,Bình Tân,Thành phố Đà Nẵng
328,Baton Rouge,Ông Ích Khiêm,Quận 11,Thành phố Đà Nẵng
330,Oakland,Võ Văn Kiệt,Quận 7,Tỉnh Hà Tĩnh
331,Philadelphia,Nguyễn Thượng Hiền,Quận 10,Tỉnh Hà Giang
332,Mobile,Quốc Lộ 50,Bình Tân,Thành phố Hà Nội
333,Tampa,Hoà Bình,Bình Tân,Tỉnh An Giang
334,Grand Rapids,Đồng Đen,Quận 6,Tỉnh Gia Lai
335,Houston,Cầu Thanh Lộc,Quận 6,Tỉnh Hà Tĩnh
336,Washington,Nguyễn Kiệm,Quận 10,Tỉnh Hòa Bình
337,Aurora,Hoa Hồng,Quận 3,Tỉnh Hà Nam
338,Shreveport,Nguyễn Văn Bảo,Quận 10,Tỉnh Hà Nam
339,Louisville,Hồ Tùng Mậu,Quận 12,Thành phố Hà Nội
340,Tucson,Trường Sa,Quận 11,Tỉnh Hà Giang
341,Washington,Trần Xuân Hòa,Quận 12,Thành phố Cần Thơ
342,Bakersfield,Nguyễn Thị Huỳnh,Quận 4,Tỉnh An Giang
343,Fort Wayne,Nguyễn Thượng Hiền,Quận 11,Tỉnh Hà Nam
344,Sacramento,Bạch Mã,Gò Vấp,Tỉnh Hưng Yên
345,Cleveland,Hẻm 330 Nguyễn Tất Thành,Quận 8,Tỉnh Hưng Yên
346,Baltimore,Nguyễn Công Hoan,Bình Thạnh,Thành phố Hà Nội
347,Lubbock,Tỉnh Lộ 7,Bình Thạnh,Thành phố Hồ Chí Minh
348,Grand Rapids,Hẻm 153 Nguyễn Thị Minh Khai,Quận 3,Tỉnh Hà Nam
349,Rochester,Mê Linh,Phú Nhuận,Thành phố Đà Nẵng
350,Mobile,Hẻm 861 Trần Xuân Soạn,Quận 3,Thành phố Cần Thơ
351,Lubbock,Hầm Vượt Sông Sài Gòn,Quận 3,Tỉnh Hà Giang
352,Houston,Hẻm 297 Lý Thường Kiệt,Quận 4,Tỉnh Hà Giang
353,New Orleans,Phổ Quang,Tân Phú,Tỉnh Hà Tĩnh
354,Oakland,Kinh Dương Vương,Tân Bình,Tỉnh Hòa Bình
355,El Paso,Trần Hưng Ðạo,Tân Bình,Tỉnh An Giang
356,Arlington,Ngô Quyền,Quận 5,Tỉnh Hà Nam
357,Aurora,Cầu Bửu Hòa,Quận 11,Tỉnh Hưng Yên
